source_name,publisher,publication_date,source_type,url,reliability_level,data_used,notes
Real Estate Business Law 2023,Cong Bao / National Assembly,2023-11-28,Official legal document,https://congbao.chinhphu.vn/noi-dung-van-ban-so-29-2023-qh15-40868,Tier 1,"Date, institution, policy name, real estate business regulation",Official source.
Land Law 2024,Cong Bao / National Assembly,2024-01-18,Official legal document,https://congbao.chinhphu.vn/tai-ve-van-ban-so-31-2024-qh15-41329-49226?format=pdf,Tier 1,"Date, institution, policy name, land policy framework",Official source.
Law on Credit Institutions 2024,Cong Bao / National Assembly,2024-01-18,Official legal document,https://congbao.chinhphu.vn/van-ban/luat-so-32-2024-qh15-41339/49230.htm,Tier 1,"Date, institution, policy name, credit policy relevance",Official source.
Law 43/2024/QH15 amending effective dates of major real estate-related laws,Cong Bao / National Assembly,2024-06-29,Official legal document,https://congbao.chinhphu.vn/van-ban/43-2024-qh15-42578.htm,Tier 1,"Date, institution, policy name, accelerated implementation timing",Official source.
Decree 94/2024/ND-CP on housing and real estate market information database,Cong Bao / Government of Vietnam,2024-07-24,Official legal document,https://congbao.chinhphu.vn/noi-dung-van-ban-so-94-2024-nd-cp-42447,Tier 1,"Date, institution, policy name, market transparency",Official source.
Decree 95/2024/ND-CP detailing selected Housing Law articles,Cong Bao / Government of Vietnam,2024-07-24,Official legal document,https://congbao.chinhphu.vn/noi-dung-van-ban-so-95-2024-nd-cp-42427?cbid=51152,Tier 1,"Date, institution, policy name, housing law implementation",Official source.
Decree 96/2024/ND-CP detailing selected Real Estate Business Law articles,Cong Bao / Government of Vietnam,2024-07-24,Official legal document,https://congbao.chinhphu.vn/so-do-van-ban-so-96-2024-nd-cp-42491?cbid=51295,Tier 1,"Date, institution, policy name, real estate business implementation",Official source.
Decree 98/2024/ND-CP on apartment renovation and reconstruction,Cong Bao / Government of Vietnam,2024-07-25,Official legal document,https://congbao.chinhphu.vn/so-do-van-ban-so-98-2024-nd-cp-42422?cbid=51144,Tier 1,"Date, institution, policy name, redevelopment supply relevance",Official source.
Decree 100/2024/ND-CP on social housing development and management,Cong Bao / Government of Vietnam,2024-07-26,Official legal document,https://congbao.chinhphu.vn/noi-dung-van-ban-so-100-2024-nd-cp-42431,Tier 1,"Date, institution, policy name, social housing implementation",Official source.
Decree 102/2024/ND-CP detailing Land Law implementation,Cong Bao / Government of Vietnam,2024-07-30,Official legal document,https://congbao.chinhphu.vn/van-ban/102-2024-nd-cp-42485.htm,Tier 1,"Date, institution, policy name, land law implementation",Official source.
Law on Urban and Rural Planning 2024,Cong Bao / National Assembly,2024-11-26,Official legal document,https://congbao.chinhphu.vn/van-ban/luat-so-47-2024-qh15-43579/53724.htm,Tier 1,"Date, institution, policy name, planning framework",Official source.
Resolution 171/2024/QH15 on pilot commercial housing through land-use-right agreements,Cong Bao / National Assembly,2024-11-30,Official legal document,https://congbao.chinhphu.vn/so-do-van-ban-so-171-2024-qh15-43485?cbid=53401,Tier 1,"Date, institution, policy name, commercial housing pilot mechanism",Official source.
Resolution 170/2024/QH15 on special mechanisms for stuck projects in HCMC Da Nang and Khanh Hoa,Cong Bao / National Assembly,2024-11-30,Official legal document,https://congbao.chinhphu.vn/thuoc-tinh-van-ban-so-170-2024-qh15-44197?cbid=54921,Tier 1,"Date, institution, policy name, project bottleneck mechanism",Official source.
Decree 75/2025/ND-CP detailing Resolution 171/2024/QH15,Cong Bao / Government of Vietnam,2025-04-01,Official legal document,https://congbao.chinhphu.vn/tai-ve-van-ban-so-75-2025-nd-cp-44654-55859?format=pdf,Tier 1,"Date, institution, policy name, pilot commercial housing implementation",Official source.
Resolution 201/2025/QH15 on special social housing mechanisms,Cong Bao / National Assembly,2025-05-29,Official legal document,https://congbao.chinhphu.vn/noi-dung-van-ban-so-201-2025-qh15-44979,Tier 1,"Date, institution, policy name, social housing special mechanisms",Official source.
Decree 302/2025/ND-CP on National Housing Fund,Cong Bao / Government of Vietnam,2025-11-19,Official legal document,https://congbao.chinhphu.vn/thuoc-tinh-van-ban-so-302-2025-nd-cp-46644?cbid=59870,Tier 1,"Date, institution, policy name, social housing capital mechanism",Official source.
Decree 357/2025/ND-CP on housing and real estate market information database,Cong Bao / Government of Vietnam,2025-12-31,Official legal document,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-357-2025-nd-cp-468566/61205.htm,Tier 1,"Date, institution, policy name, market transparency rule effective 2026",Official source.
